RegName,energy_cost,weight
Argyll and Bute,2217.494545454545,177.76
Shetland Islands,2509.685526666666,38.82
Aberdeenshire,4702.447,454.17
Fife,4592.67109090909,399.59
Moray,7770.446090909089,223.01
Na h-Eileanan Siar,4925.804206666666,43.9
"Edinburgh, City of",1352.2913636363635,464.12
Na h-Eileanan Siar,4248.198818181818,47.89
South Lanarkshire,2153.134545454545,420.42
East Lothian,4036.9809999999998,207.83
Dundee City,1352.2913636363635,302.69
Na h-Eileanan Siar,4046.8981000000003,48.9
Highland,2760.0221,365.1
Scottish Borders,3984.9319000000005,251.5
Perth and Kinross,4800.328239999999,234.56
Orkney Islands,2493.1365,46.27
South Ayrshire,1739.6215454545452,239.44
Aberdeenshire,3792.1977,465.63
Aberdeen City,1352.2913636363635,457.87
East Lothian,2252.7462727272723,209.78
Highland,4532.258393333333,398.29
Na h-Eileanan Siar,1352.2913636363635,55.79
Orkney Islands,2738.6237,47.24
Na h-Eileanan Siar,1352.2913636363635,55.48
Scottish Borders,1075.04712,268.79
Aberdeenshire,2245.1400909090908,465.63
South Lanarkshire,2367.1237,429.78
Argyll and Bute,2028.0185000000001,180.9
Aberdeen City,3221.3642727272727,492.7
Orkney Islands,5137.829545454545,43.0
Argyll and Bute,5318.622636363635,186.74
Angus,4549.957983333333,270.6
Na h-Eileanan Siar,2272.9856,45.14
Dumfries and Galloway,3432.8086000000003,233.3
Na h-Eileanan Siar,1707.4140000000002,52.83
Shetland Islands,3581.780272727272,36.7
Na h-Eileanan Siar,1842.158727272727,47.71
Falkirk,1790.2585,287.1
"Edinburgh, City of",1411.9706363636362,385.64
Moray,4237.9977,189.97
Shetland Islands,3362.6693999999998,33.07
Na h-Eileanan Siar,4745.379818181817,47.89
Scottish Borders,1779.7002727272725,365.0
Orkney Islands,3386.9449999999997,50.48
Aberdeenshire,1352.2913636363635,522.01
Orkney Islands,7424.51109090909,47.24
Highland,9257.600909090908,326.3
Shetland Islands,1287.91032,34.72
Glasgow City,1464.0437272727272,461.49
Shetland Islands,3629.026363636363,33.88
Highland,4146.8315999999995,335.31
Na h-Eileanan Siar,3620.8350909090905,51.53
Na h-Eileanan Siar,6593.535727272727,46.4
Orkney Islands,2575.277636363636,43.74
Argyll and Bute,4283.889363636363,174.79
Shetland Islands,2744.2705,36.07
Na h-Eileanan Siar,4702.447,46.4
Aberdeenshire,3120.2898181818173,420.51
Na h-Eileanan Siar,3707.5700000000006,46.4
Fife,587.51416,371.34
Highland,3309.740233333333,427.01
Na h-Eileanan Siar,2650.1692727272725,51.18
Renfrewshire,1714.6089090909088,394.37
Orkney Islands,2500.195,46.1
Shetland Islands,2778.8943,35.94
Inverclyde,2424.763,179.91
Dumfries and Galloway,4702.447,289.56
Moray,4702.447,223.01
Shetland Islands,6476.956363636364,38.82
East Dunbartonshire,1352.2913636363635,199.24
Dumfries and Galloway,2145.4125000000004,240.49
Angus,3228.092818181818,250.55
Shetland Islands,2552.897909090909,35.94
Na h-Eileanan Siar,3499.0842000000002,43.9
Shetland Islands,3275.5155000000004,39.8
Moray,4702.447,200.05
Dumfries and Galloway,3141.3530909090905,304.25
