RegName,energy_cost,weight
Argyll and Bute,4038.4172727272726,177.76
Shetland Islands,3761.6591,38.82
Aberdeenshire,8341.622,454.17
Fife,8363.999045454544,399.59
Moray,14151.242795454546,223.01
Na h-Eileanan Siar,7383.0749,43.9
"Edinburgh, City of",2462.7419318181815,464.12
Na h-Eileanan Siar,7736.659159090908,47.89
South Lanarkshire,3921.2072727272725,420.42
East Lothian,7351.997249999999,207.83
Dundee City,2462.7419318181815,302.69
Na h-Eileanan Siar,7178.750599999999,48.9
Highland,4895.9746,365.1
Scottish Borders,7068.8294,251.5
Perth and Kinross,7195.0044,234.56
Orkney Islands,4422.549,46.27
South Ayrshire,3168.133022727273,239.44
Aberdeenshire,6726.940200000001,465.63
Aberdeen City,2462.7419318181815,457.87
East Lothian,4102.616386363636,209.78
Highland,6793.206099999999,398.29
Na h-Eileanan Siar,2462.7419318181815,55.79
Orkney Islands,4858.0162,47.24
Na h-Eileanan Siar,2462.7419318181815,55.48
Scottish Borders,2001.59694,268.79
Aberdeenshire,4088.7642954545454,465.63
South Lanarkshire,4199.0162,429.78
Argyll and Bute,3597.4809999999998,180.9
Aberdeen City,5866.626886363636,492.7
Orkney Islands,9356.821022727272,43.0
Argyll and Bute,9686.074568181819,186.74
Angus,6819.73525,270.6
Na h-Eileanan Siar,4032.0256,45.14
Dumfries and Galloway,6089.423599999999,233.3
Na h-Eileanan Siar,3028.764,52.83
Shetland Islands,6523.002886363636,36.7
Na h-Eileanan Siar,3354.8698636363633,47.71
Falkirk,3175.721,287.1
"Edinburgh, City of",2571.427568181818,385.64
Moray,7517.7402,189.97
Shetland Islands,5965.0044,33.07
Na h-Eileanan Siar,8642.106409090908,47.89
Scottish Borders,3241.122886363636,365.0
Orkney Islands,6168.17625,50.48
Aberdeenshire,2462.7419318181815,522.01
Orkney Islands,13521.239045454546,47.24
Highland,16859.592954545453,326.3
Shetland Islands,2397.92034,34.72
Glasgow City,2666.261113636364,461.49
Shetland Islands,6609.045681818182,33.88
Highland,7356.0216,335.31
Na h-Eileanan Siar,6594.128045454545,51.53
Na h-Eileanan Siar,12007.898113636364,46.4
Orkney Islands,4689.998318181819,43.74
Argyll and Bute,7801.657431818182,174.79
Shetland Islands,4868.032999999999,36.07
Na h-Eileanan Siar,8341.622,46.4
Aberdeenshire,5682.55390909091,420.51
