RegName,energy_cost,weight,aagph1819
Argyll and Bute,1638.1309999999999,177.76,
Shetland Islands,2712.1298,38.82,
Aberdeenshire,5074.613000000001,454.17,
Fife,2797.5242,399.59,
Moray,4348.689200000001,223.01,
Na h-Eileanan Siar,4788.1562,43.9,
"Edinburgh, City of",1215.8000000000002,464.12,
Na h-Eileanan Siar,2629.3772000000004,47.89,
South Lanarkshire,1606.7150000000001,420.42,
East Lothian,2526.2756,207.83,
Dundee City,1215.8000000000002,302.69,
Na h-Eileanan Siar,4444.6508,48.9,
Highland,3208.0028,365.1,
Scottish Borders,4385.1032000000005,251.5,
Perth and Kinross,4680.342200000001,234.56,
Orkney Islands,2951.534,46.27,
South Ayrshire,1404.8672000000001,239.44,
Aberdeenshire,4199.8916,465.63,
Aberdeen City,1215.8000000000002,457.87,
East Lothian,1655.3384,209.78,
Highland,4450.005800000001,398.29,
Na h-Eileanan Siar,1215.8000000000002,55.79,
Orkney Islands,3187.4396,47.24,
Na h-Eileanan Siar,1215.8000000000002,55.48,
Scottish Borders,1075.04712,268.79,
Aberdeenshire,1651.6256000000003,465.63,
South Lanarkshire,2830.4396,429.78,
Argyll and Bute,2504.57,180.9,
Aberdeen City,2128.1492,492.7,
Orkney Islands,3063.632,43.0,
Argyll and Bute,3151.8824,186.74,
Angus,4465.214000000001,270.6,
Na h-Eileanan Siar,2739.9758,45.14,
Dumfries and Galloway,3854.5298000000003,233.3,
Na h-Eileanan Siar,2196.479,52.83,
Shetland Islands,2304.0788000000002,36.7,
Na h-Eileanan Siar,1454.9186,47.71,
Falkirk,2276.09,287.1,
"Edinburgh, City of",1244.9312,385.64,
Moray,4628.2916000000005,189.97,
Shetland Islands,3787.1282000000006,33.07,
Na h-Eileanan Siar,2872.0658,47.89,
Scottish Borders,1424.4308,365.0,
Orkney Islands,2208.974,50.48,
Aberdeenshire,1215.8000000000002,522.01,
Orkney Islands,4179.8282,47.24,
Highland,5074.613000000001,326.3,
Shetland Islands,1287.91032,34.72,
Glasgow City,1270.3496,461.49,
Shetland Islands,2327.141,33.88,
Highland,4540.683800000001,335.31,
Na h-Eileanan Siar,2323.1426,51.53,
Na h-Eileanan Siar,3774.2048000000004,46.4,
Orkney Islands,1812.7754,43.74,
Argyll and Bute,2646.7988,174.79,
Shetland Islands,3192.8660000000004,36.07,
Na h-Eileanan Siar,5074.613000000001,46.4,
Aberdeenshire,2078.8118000000004,420.51,
Na h-Eileanan Siar,4118.567000000001,46.4,
Fife,587.51416,371.34,
Highland,3399.569,427.01,
Na h-Eileanan Siar,1849.3321999999998,51.18,
Renfrewshire,1392.6578,394.37,
Orkney Islands,2958.317,46.1,
Shetland Islands,3226.1384000000003,35.94,
Inverclyde,1739.3048,179.91,
Dumfries and Galloway,5074.613000000001,289.56,
Moray,5074.613000000001,223.01,
Shetland Islands,3717.2990000000004,38.82,
East Dunbartonshire,1215.8000000000002,199.24,
Dumfries and Galloway,2617.382,240.49,
Angus,2131.4336000000003,250.55,
Shetland Islands,1801.8512,35.94,
Na h-Eileanan Siar,3918.2186000000006,43.9,
Shetland Islands,3703.3759999999997,39.8,
Moray,5074.613000000001,200.05,
Dumfries and Galloway,2089.0934,304.25,
Falkirk,1954.076,275.06,
Aberdeenshire,3475.61,477.39,
Orkney Islands,2950.3916000000004,40.24,
Na h-Eileanan Siar,1512.7526000000003,55.48,
Argyll and Bute,2744.9024,158.99,
Highland,5074.613000000001,398.29,
South Ayrshire,5074.613000000001,213.04,
Orkney Islands,2339.7788,42.53,
Stirling,3017.579,155.39,
East Lothian,3259.0538,173.18,
Perth and Kinross,1713.101,294.08,
Aberdeen City,1215.8000000000002,332.23,
Shetland Islands,5074.613000000001,36.84,
Na h-Eileanan Siar,4097.0756,52.83,
Na h-Eileanan Siar,3340.8781999999997,47.58,
Na h-Eileanan Siar,1215.8000000000002,53.15,
Na h-Eileanan Siar,2128.2206,53.94,
Highland,2108.4428000000003,448.67,
Dundee City,1244.717,285.35,
Argyll and Bute,1373.4512,187.11,
Shetland Islands,3009.6536,40.76,
East Renfrewshire,1403.7248,182.32,
Midlothian,4381.818800000001,148.08,
Scottish Borders,1785.7862,251.5,
Orkney Islands,5074.613000000001,47.24,
Argyll and Bute,1758.8684000000003,154.59,
West Lothian,2019.4070000000002,331.83,
Na h-Eileanan Siar,5074.613000000001,51.53,
Dundee City,2157.4946,252.9,
Orkney Islands,3397.5698,40.24,
Shetland Islands,2718.1274,32.94,
Shetland Islands,2016.551,39.8,
Midlothian,2565.5456000000004,129.63,
Moray,1800.2804,189.97,
Aberdeen City,2651.0828,366.53,
Highland,1227.1526,463.23,
Angus,1396.5134000000003,285.87,
Moray,2569.4012000000002,189.97,
East Dunbartonshire,1226.7956,186.24,
Aberdeenshire,5074.613000000001,397.89,
Shetland Islands,2943.5372,33.88,
Highland,1419.7184000000002,440.26,
Scottish Borders,2190.0530000000003,281.41,
Moray,3414.4202,194.66,
Scottish Borders,2758.1114000000002,257.7,
Highland,2742.9746,365.1,
East Lothian,2816.0881999999997,173.18,
Shetland Islands,4360.398800000001,35.71,
"Edinburgh, City of",830.4596799999999,420.69,
South Lanarkshire,1833.3386,419.2,
Shetland Islands,5074.613000000001,38.82,
Shetland Islands,2731.622,33.07,
Orkney Islands,1215.8000000000002,60.04,
Na h-Eileanan Siar,2994.3026,46.4,
Na h-Eileanan Siar,5074.613000000001,47.89,
Dundee City,2593.1774,268.26,
South Ayrshire,1215.8000000000002,178.67,
Na h-Eileanan Siar,4561.604,47.89,
Highland,4657.994000000001,365.1,
Glasgow City,1739.0906,398.5,
Orkney Islands,1943.009,46.1,
South Lanarkshire,3435.4832,422.08,
Dumfries and Galloway,1308.0488,211.81,
Falkirk,2896.556,285.78,
Orkney Islands,3924.5732000000003,42.41,
Moray,5074.613000000001,249.53,
Na h-Eileanan Siar,3828.0404000000003,43.9,
Clackmannanshire,3714.6572,103.52,
Glasgow City,542.1268,461.49,
North Lanarkshire,1215.8000000000002,395.11,
Na h-Eileanan Siar,2060.3192000000004,53.94,
Shetland Islands,2455.4468,35.94,
Orkney Islands,2731.4078,43.74,
Na h-Eileanan Siar,2368.5530000000003,52.83,
Dumfries and Galloway,1690.8242,220.45,
Shetland Islands,2418.533,39.8,
Orkney Islands,5074.613000000001,47.24,
Midlothian,3846.0332000000003,129.63,
Highland,2215.5428,439.41,
Shetland Islands,3764.3516000000004,34.01,
Inverclyde,542.1268,179.91,
North Lanarkshire,545.58656,457.57,
Moray,1240.9328,221.49,
"Edinburgh, City of",1215.8000000000002,452.69,
Highland,2254.5272,401.29,
Perth and Kinross,3664.0346,282.3,
Shetland Islands,1534.3868,34.85,
Orkney Islands,4356.5432,40.24,
Na h-Eileanan Siar,4054.4498,43.9,
Orkney Islands,4072.3712,41.38,
Shetland Islands,2050.9658,39.65,
Shetland Islands,3686.0258,35.71,
Shetland Islands,2355.1298,38.55,
Perth and Kinross,2116.3682,236.64,
Na h-Eileanan Siar,2391.1868,50.29,
Na h-Eileanan Siar,2315.003,53.94,
Inverclyde,780.96752,196.27,
Scottish Borders,3907.0802,295.24,
