RegName,energy_cost,weight,aagph1819
Argyll and Bute,1402.4708895818533,177.76,
Shetland Islands,2484.655028294699,38.82,
Aberdeenshire,4859.328883699015,454.17,
Fife,2553.7812695672824,399.59,
Moray,4118.011257275323,223.01,
Na h-Eileanan Siar,4594.900493978193,43.9,
"Edinburgh, City of",973.5702016952607,464.12,
Na h-Eileanan Siar,2436.1214939781926,47.89,
South Lanarkshire,1363.302567888525,420.42,
East Lothian,2282.2386,207.83,
Dundee City,971.763,302.69,
Na h-Eileanan Siar,4251.395093978193,48.9,
Highland,2973.608284254795,365.1,
Scottish Borders,4147.923783848126,251.5,
Perth and Kinross,4439.043967851675,234.56,
Orkney Islands,2709.2310326320553,46.27,
South Ayrshire,1164.4941780828924,239.44,
Aberdeenshire,3984.607483699014,465.63,
Aberdeen City,971.763,457.87,
East Lothian,1411.3014000000003,209.78,
Highland,4215.6112842547955,398.29,
Na h-Eileanan Siar,1022.5442939781922,55.79,
Orkney Islands,2945.1366326320554,47.24,
Na h-Eileanan Siar,1022.5442939781922,55.48,
Scottish Borders,1081.9047038481253,268.79,
Aberdeenshire,1436.3414836990141,465.63,
South Lanarkshire,2587.0271678885247,429.78,
Argyll and Bute,2268.9098895818533,180.9,
Aberdeen City,1884.1122,492.7,
Orkney Islands,2821.3290326320553,43.0,
Argyll and Bute,2916.222289581853,186.74,
Angus,4223.78974761292,270.6,
Na h-Eileanan Siar,2546.7200939781924,45.14,
Dumfries and Galloway,3615.621104479953,233.3,
Na h-Eileanan Siar,2003.223293978192,52.83,
Shetland Islands,2076.6040282946988,36.7,
Na h-Eileanan Siar,1261.6628939781922,47.71,
Falkirk,2032.0530000000003,287.1,
"Edinburgh, City of",1002.7014016952606,385.64,
Moray,4397.613657275323,189.97,
Shetland Islands,3559.6534282946996,33.07,
Na h-Eileanan Siar,2678.810093978192,47.89,
Scottish Borders,1187.2513838481254,365.0,
Orkney Islands,1966.6710326320547,50.48,
Aberdeenshire,1000.5158836990142,522.01,
Orkney Islands,3937.525232632055,47.24,
Highland,4840.218484254796,326.3,
