RegName,energy_cost,weight,aagph1819
Argyll and Bute,2133.108,177.76,
Shetland Islands,4028.4,38.82,
Aberdeenshire,8197.488,454.17,
Fife,4179.0960000000005,399.59,
Moray,6916.446,223.01,
Na h-Eileanan Siar,7691.976000000001,43.9,
"Edinburgh, City of",1387.818,464.12,
Na h-Eileanan Siar,3882.3659999999995,47.89,
South Lanarkshire,2077.668,420.42,
East Lothian,3700.422,207.83,
Dundee City,1387.818,302.69,
Na h-Eileanan Siar,7085.790000000001,48.9,
Highland,4903.470000000001,365.1,
Scottish Borders,6980.706,251.5,
Perth and Kinross,7501.716,234.56,
Orkney Islands,4450.878000000001,46.27,
South Ayrshire,1721.4660000000001,239.44,
Aberdeenshire,6653.862000000001,465.63,
Aberdeen City,1387.818,457.87,
East Lothian,2163.474,209.78,
Highland,7095.240000000001,398.29,
Na h-Eileanan Siar,1387.818,55.79,
Orkney Islands,4867.182000000001,47.24,
Na h-Eileanan Siar,1387.818,55.48,
Scottish Borders,2001.59694,268.79,
Aberdeenshire,2156.922,465.63,
South Lanarkshire,4237.182000000001,429.78,
Argyll and Bute,3662.118,180.9,
Aberdeen City,2997.846,492.7,
Orkney Islands,4648.698,43.0,
Argyll and Bute,4804.434,186.74,
Angus,7122.078000000001,270.6,
Na h-Eileanan Siar,4077.5400000000004,45.14,
Dumfries and Galloway,6044.4,233.3,
Na h-Eileanan Siar,3118.428,52.83,
Shetland Islands,3308.31,36.7,
Na h-Eileanan Siar,1809.7920000000001,47.71,
Falkirk,3258.9179999999997,287.1,
"Edinburgh, City of",1439.226,385.64,
Moray,7409.862000000001,189.97,
Shetland Islands,5925.456,33.07,
Na h-Eileanan Siar,4310.64,47.89,
Scottish Borders,1755.99,365.0,
Orkney Islands,3140.4779999999996,50.48,
Aberdeenshire,1387.818,522.01,
Orkney Islands,6618.456,47.24,
Highland,8197.488,326.3,
Shetland Islands,2397.92034,34.72,
Glasgow City,1484.082,461.49,
Shetland Islands,3349.008,33.88,
Highland,7255.26,335.31,
Na h-Eileanan Siar,3341.9519999999998,51.53,
Na h-Eileanan Siar,5902.65,46.4,
Orkney Islands,2441.304,43.74,
Argyll and Bute,3913.11,174.79,
Shetland Islands,4876.758,36.07,
Na h-Eileanan Siar,8197.488,46.4,
Aberdeenshire,2910.78,420.51,
Na h-Eileanan Siar,6510.348,46.4,
Fife,1093.87442,371.34,
Highland,5241.528,427.01,
Na h-Eileanan Siar,2505.816,51.18,
