RegName,energy_cost,weight,aagph1819
Argyll and Bute,2230.206889581853,177.76,
Shetland Islands,4133.684228294699,38.82,
Aberdeenshire,8314.962883699014,454.17,
Fife,4268.112069567283,399.59,
Moray,7018.5270572753225,223.01,
Na h-Eileanan Siar,7831.479293978193,43.9,
"Edinburgh, City of",1478.3472016952605,464.12,
Na h-Eileanan Siar,4021.8692939781918,47.89,
South Lanarkshire,2167.0145678885247,420.42,
East Lothian,3789.1440000000002,207.83,
Dundee City,1476.54,302.69,
Na h-Eileanan Siar,7225.293293978193,48.9,
Highland,5001.834484254796,365.1,
Scottish Borders,7076.2855838481255,251.5,
Perth and Kinross,7593.176767851674,234.56,
Orkney Islands,4541.334032632055,46.27,
South Ayrshire,1813.8519780828926,239.44,
Aberdeenshire,6771.336883699015,465.63,
Aberdeen City,1476.54,457.87,
East Lothian,2252.1960000000004,209.78,
Highland,7193.604484254795,398.29,
Na h-Eileanan Siar,1527.321293978192,55.79,
Orkney Islands,4957.638032632055,47.24,
Na h-Eileanan Siar,1527.321293978192,55.48,
Scottish Borders,2008.4545238481253,268.79,
Aberdeenshire,2274.3968836990143,465.63,
South Lanarkshire,4326.528567888525,429.78,
Argyll and Bute,3759.216889581853,180.9,
Aberdeen City,3086.568,492.7,
Orkney Islands,4739.154032632055,43.0,
Argyll and Bute,4901.532889581853,186.74,
Angus,7213.412747612921,270.6,
Na h-Eileanan Siar,4217.043293978193,45.14,
Dumfries and Galloway,6138.250304479951,233.3,
Na h-Eileanan Siar,3257.931293978192,52.83,
Shetland Islands,3413.594228294699,36.7,
Na h-Eileanan Siar,1949.2952939781921,47.71,
Falkirk,3347.64,287.1,
"Edinburgh, City of",1529.7552016952604,385.64,
Moray,7511.943057275324,189.97,
Shetland Islands,6030.740228294699,33.07,
Na h-Eileanan Siar,4450.143293978193,47.89,
Scottish Borders,1851.5695838481254,365.0,
Orkney Islands,3230.934032632055,50.48,
Aberdeenshire,1505.292883699014,522.01,
Orkney Islands,6708.912032632054,47.24,
Highland,8295.852484254794,326.3,
Shetland Islands,2414.482568294699,34.72,
Glasgow City,1572.804,461.49,
Shetland Islands,3454.292228294699,33.88,
Highland,7353.624484254795,335.31,
Na h-Eileanan Siar,3481.455293978192,51.53,
Na h-Eileanan Siar,6042.153293978192,46.4,
Orkney Islands,2531.7600326320553,43.74,
Argyll and Bute,4010.2088895818533,174.79,
Shetland Islands,4982.042228294698,36.07,
Na h-Eileanan Siar,8336.991293978192,46.4,
Aberdeenshire,3028.2548836990145,420.51,
Na h-Eileanan Siar,6649.851293978192,46.4,
Fife,1094.1684895672824,371.34,
Highland,5339.892484254795,427.01,
Na h-Eileanan Siar,2645.319293978192,51.18,
Renfrewshire,1788.6420000000003,394.37,
Orkney Islands,4553.304032632054,46.1,
Shetland Islands,5040.758228294699,35.94,
Inverclyde,2400.3720000000003,179.91,
Dumfries and Galloway,8291.338304479952,289.56,
Moray,8299.569057275323,223.01,
Shetland Islands,5907.5122282946995,38.82,
East Dunbartonshire,1476.54,199.24,
Dumfries and Galloway,3955.0483044799525,240.49,
Angus,3094.97674761292,250.55,
Shetland Islands,2527.310228294699,35.94,
Na h-Eileanan Siar,6296.2952939781935,43.9,
Shetland Islands,5882.942228294699,39.8,
Moray,8299.569057275323,200.05,
Dumfries and Galloway,3022.774304479952,304.25,
Falkirk,2779.38,275.06,
Aberdeenshire,5493.192883699014,477.39,
Orkney Islands,4539.318032632054,40.24,
Na h-Eileanan Siar,2051.355293978192,55.48,
Argyll and Bute,4183.332889581853,158.99,
Highland,8295.852484254794,398.29,
South Ayrshire,8289.873978082891,213.04,
Orkney Islands,3461.766032632055,42.53,
Stirling,4657.051402928463,155.39,
East Lothian,5082.282,173.18,
Perth and Kinross,2356.868767851675,294.08,
Aberdeen City,1476.54,332.23,
Shetland Islands,8302.772228294698,36.84,
Na h-Eileanan Siar,6611.925293978193,52.83,
Na h-Eileanan Siar,5277.459293978192,47.58,
Na h-Eileanan Siar,1527.321293978192,53.15,
Na h-Eileanan Siar,3137.475293978192,53.94,
Highland,3061.434484254795,448.67,
Dundee City,1527.5699999999997,285.35,
Argyll and Bute,1763.1248895818533,187.11,
Shetland Islands,4658.7262282946995,40.76,
East Renfrewshire,1808.172,182.32,
Midlothian,7063.6320000000005,148.08,
Scottish Borders,2489.2555838481253,251.5,
Orkney Islands,8287.944032632055,47.24,
Argyll and Bute,2443.272889581853,154.59,
West Lothian,2894.67,331.83,
Na h-Eileanan Siar,8336.991293978192,51.53,
Dundee City,3138.3540000000003,252.9,
Orkney Islands,5328.456032632055,40.24,
Shetland Islands,4144.268228294699,32.94,
Shetland Islands,2906.192228294699,39.8,
Midlothian,3858.4440000000004,129.63,
Moray,2521.3350572753234,189.97,
Aberdeen City,4009.3920000000003,366.53,
Highland,1506.2164842547945,463.23,
Angus,1798.05874761292,285.87,
Moray,3878.6070572753238,189.97,
East Dunbartonshire,1495.944,186.24,
Aberdeenshire,8314.962883699014,397.89,
Shetland Islands,4542.050228294699,33.88,
Highland,1846.0384842547946,440.26,
Scottish Borders,3202.6675838481256,281.41,
Moray,5369.817057275323,194.66,
Scottish Borders,4205.123583848126,257.7,
Highland,4181.196484254795,365.1,
East Lothian,4300.578,173.18,
Shetland Islands,7042.3942282947,35.71,
"Edinburgh, City of",1548.0143616952605,420.69,
South Lanarkshire,2566.9385678885246,419.2,
Shetland Islands,8302.772228294698,38.82,
Shetland Islands,4168.082228294698,33.07,
Orkney Islands,1478.2740326320547,60.04,
Na h-Eileanan Siar,4665.855293978193,46.4,
Na h-Eileanan Siar,8336.991293978192,47.89,
Dundee City,3907.2060000000006,268.26,
South Ayrshire,1480.2039780828925,178.67,
Na h-Eileanan Siar,7431.681293978193,47.89,
Highland,7560.642484254795,365.1,
Glasgow City,2399.994,398.5,
Orkney Islands,2761.5840326320554,46.1,
South Lanarkshire,5394.252567888524,422.08,
Dumfries and Galloway,1644.4603044799524,211.81,
Falkirk,4442.58,285.78,
Orkney Islands,6258.462032632055,42.41,
Moray,8299.569057275323,249.53,
Na h-Eileanan Siar,6137.157293978193,43.9,
Clackmannanshire,5886.2880000000005,103.52,
Glasgow City,1009.3690999999999,461.49,
North Lanarkshire,1476.54,395.11,
Na h-Eileanan Siar,3017.6492939781924,53.94,
Shetland Islands,3680.714228294699,35.94,
Orkney Islands,4152.876032632054,43.74,
Na h-Eileanan Siar,3561.591293978192,52.83,
Dumfries and Galloway,2319.9463044799527,220.45,
Shetland Islands,3615.572228294699,39.8,
Orkney Islands,8287.944032632055,47.24,
Midlothian,6118.128,129.63,
Highland,3250.434484254795,439.41,
Shetland Islands,5990.546228294699,34.01,
Inverclyde,1009.3690999999999,179.91,
North Lanarkshire,1015.81072,457.57,
Moray,1534.2510572753233,221.49,
"Edinburgh, City of",1478.3472016952605,452.69,
Highland,3319.2304842547946,401.29,
Perth and Kinross,5799.692767851675,282.3,
Shetland Islands,2055.3142282946988,34.85,
Orkney Islands,7020.762032632055,40.24,
Na h-Eileanan Siar,6536.703293978193,43.9,
Orkney Islands,6519.282032632055,41.38,
Shetland Islands,2966.924228294699,39.65,
Shetland Islands,5852.3242282946985,35.71,
Shetland Islands,3503.684228294699,38.55,
Perth and Kinross,3068.516767851675,236.64,
Na h-Eileanan Siar,3601.5332939781924,50.29,
Na h-Eileanan Siar,3467.091293978192,53.94,
Inverclyde,1454.05924,196.27,
Scottish Borders,6232.715583848126,295.24,
Dumfries and Galloway,4035.184304479953,221.27,
Orkney Islands,3654.5460326320554,48.43,
Angus,2597.02474761292,221.36,
Perth and Kinross,8288.948767851674,282.3,
East Renfrewshire,1771.1280000000002,230.34,
South Ayrshire,3813.975978082893,181.48,
Orkney Islands,7639.170032632055,47.24,
East Ayrshire,6643.674000000001,195.26,
Moray,2906.1390572753235,256.32,
Midlothian,8286.21,151.81,
Orkney Islands,7302.372032632055,47.24,
Argyll and Bute,1523.598889581853,197.22,
"Edinburgh, City of",4731.037201695261,407.6,
Highland,6892.716484254795,458.04,
Shetland Islands,8111.126228294699,36.07,
Shetland Islands,5773.5742282946985,33.07,
Aberdeenshire,6668.646883699014,386.89,
Orkney Islands,2044.0140326320545,43.46,
