Upper Tier Local Authorities Code,Upper Tier Local Authorities,Type of central heating in household (13 categories) Code,Type of central heating in household (13 categories),Observation
E06000001,Hartlepool,-9,Does not apply,0
E06000001,Hartlepool,1,No central heating,342
E06000001,Hartlepool,2,Mains gas only,33664
E06000001,Hartlepool,3,Tank or bottled gas only,184
E06000001,Hartlepool,4,Electric only,1886
E06000001,Hartlepool,5,Oil only,120
E06000001,Hartlepool,6,Wood only,17
E06000001,Hartlepool,7,Solid fuel only,27
E06000001,Hartlepool,8,Renewable energy only,54
E06000001,Hartlepool,9,District or communal heat networks only,208
E06000001,Hartlepool,10,Other central heating only,526
E06000001,Hartlepool,11,Two or more types of central heating (not including renewable energy),3722
E06000001,Hartlepool,12,Two or more types of central heating (including renewable energy),180
E06000002,Middlesbrough,-9,Does not apply,0
E06000002,Middlesbrough,1,No central heating,752
E06000002,Middlesbrough,2,Mains gas only,48397
E06000002,Middlesbrough,3,Tank or bottled gas only,299
E06000002,Middlesbrough,4,Electric only,3554
E06000002,Middlesbrough,5,Oil only,54
E06000002,Middlesbrough,6,Wood only,18
E06000002,Middlesbrough,7,Solid fuel only,12
E06000002,Middlesbrough,8,Renewable energy only,65
E06000002,Middlesbrough,9,District or communal heat networks only,219
E06000002,Middlesbrough,10,Other central heating only,1030
E06000002,Middlesbrough,11,Two or more types of central heating (not including renewable energy),5684
E06000002,Middlesbrough,12,Two or more types of central heating (including renewable energy),178
E06000003,Redcar and Cleveland,-9,Does not apply,0
E06000003,Redcar and Cleveland,1,No central heating,569
E06000003,Redcar and Cleveland,2,Mains gas only,50613
E06000003,Redcar and Cleveland,3,Tank or bottled gas only,353
E06000003,Redcar and Cleveland,4,Electric only,2610
E06000003,Redcar and Cleveland,5,Oil only,613
E06000003,Redcar and Cleveland,6,Wood only,69
E06000003,Redcar and Cleveland,7,Solid fuel only,182
E06000003,Redcar and Cleveland,8,Renewable energy only,107
E06000003,Redcar and Cleveland,9,District or communal heat networks only,132
E06000003,Redcar and Cleveland,10,Other central heating only,637
E06000003,Redcar and Cleveland,11,Two or more types of central heating (not including renewable energy),5443
E06000003,Redcar and Cleveland,12,Two or more types of central heating (including renewable energy),310
E06000004,Stockton-on-Tees,-9,Does not apply,0
E06000004,Stockton-on-Tees,1,No central heating,705
E06000004,Stockton-on-Tees,2,Mains gas only,69453
E06000004,Stockton-on-Tees,3,Tank or bottled gas only,420
E06000004,Stockton-on-Tees,4,Electric only,3779
E06000004,Stockton-on-Tees,5,Oil only,383
E06000004,Stockton-on-Tees,6,Wood only,32
E06000004,Stockton-on-Tees,7,Solid fuel only,56
E06000004,Stockton-on-Tees,8,Renewable energy only,87
E06000004,Stockton-on-Tees,9,District or communal heat networks only,270
E06000004,Stockton-on-Tees,10,Other central heating only,831
E06000004,Stockton-on-Tees,11,Two or more types of central heating (not including renewable energy),7346
E06000004,Stockton-on-Tees,12,Two or more types of central heating (including renewable energy),395
E06000005,Darlington,-9,Does not apply,0
E06000005,Darlington,1,No central heating,466
E06000005,Darlington,2,Mains gas only,39821
E06000005,Darlington,3,Tank or bottled gas only,279
E06000005,Darlington,4,Electric only,2865
E06000005,Darlington,5,Oil only,667
E06000005,Darlington,6,Wood only,41
E06000005,Darlington,7,Solid fuel only,39
E06000005,Darlington,8,Renewable energy only,86
E06000005,Darlington,9,District or communal heat networks only,155
E06000005,Darlington,10,Other central heating only,366
E06000005,Darlington,11,Two or more types of central heating (not including renewable energy),3906
E06000005,Darlington,12,Two or more types of central heating (including renewable energy),227
E06000006,Halton,-9,Does not apply,0
E06000006,Halton,1,No central heating,803
E06000006,Halton,2,Mains gas only,47139
E06000006,Halton,3,Tank or bottled gas only,228
E06000006,Halton,4,Electric only,2512
E06000006,Halton,5,Oil only,127
E06000006,Halton,6,Wood only,8
E06000006,Halton,7,Solid fuel only,35
E06000006,Halton,8,Renewable energy only,31
E06000006,Halton,9,District or communal heat networks only,199
E06000006,Halton,10,Other central heating only,553
E06000006,Halton,11,Two or more types of central heating (not including renewable energy),4143
E06000006,Halton,12,Two or more types of central heating (including renewable energy),173
E06000007,Warrington,-9,Does not apply,0
E06000007,Warrington,1,No central heating,963
E06000007,Warrington,2,Mains gas only,75969
E06000007,Warrington,3,Tank or bottled gas only,471
E06000007,Warrington,4,Electric only,4768
E06000007,Warrington,5,Oil only,417
E06000007,Warrington,6,Wood only,34
E06000007,Warrington,7,Solid fuel only,54
E06000007,Warrington,8,Renewable energy only,103
E06000007,Warrington,9,District or communal heat networks only,212
E06000007,Warrington,10,Other central heating only,541
