Lower tier local authorities Code,Lower tier local authorities,Observation
E06000001,Hartlepool,40930
E06000002,Middlesbrough,60262
E06000003,Redcar and Cleveland,61636
E06000004,Stockton-on-Tees,83757
E06000005,Darlington,48918
E06000006,Halton,55951
E06000007,Warrington,90538
E06000008,Blackburn with Darwen,58767
E06000009,Blackpool,64789
E06000010,Kingston upon Hull,115472
E06000011,East Riding of Yorkshire,152066
E06000012,North East Lincolnshire,69826
E06000013,North Lincolnshire,73173
E06000014,York,85459
E06000015,Derby,105652
E06000016,Leicester,127387
E06000017,Rutland,16694
E06000018,Nottingham,124745
E06000019,Herefordshire,82827
E06000020,Telford and Wrekin,76510
E06000021,Stoke-on-Trent,110399
E06000022,Bath and North East Somerset,79250
E06000023,Bristol,191638
E06000024,North Somerset,94648
E06000025,South Gloucestershire,118101
E06000026,Plymouth,114558
E06000027,Torbay,62992
E06000030,Swindon,95862
E06000031,Peterborough,84533
E06000032,Luton,78940
E06000033,Southend-on-Sea,78344
E06000034,Thurrock,66377
E06000035,Medway,111458
E06000036,Bracknell Forest,50248
E06000037,West Berkshire,66658
E06000038,Reading,67683
E06000039,Slough,52423
E06000040,Windsor and Maidenhead,60932
E06000041,Wokingham,69164
E06000042,Milton Keynes,113102
E06000043,Brighton and Hove,121402
E06000044,Portsmouth,86155
E06000045,Southampton,102291
E06000046,Isle of Wight,64775
E06000047,County Durham,234761
E06000049,Cheshire East,174856
E06000050,Cheshire West and Chester,155156
E06000051,Shropshire,139579
E06000052,Cornwall,250535
E06000053,Isles of Scilly,942
E06000054,Wiltshire,215081
E06000055,Bedford,74950
E06000056,Central Bedfordshire,120755
E06000057,Northumberland,146922
E06000058,"Bournemouth, Christchurch and Poole",173842
E06000059,Dorset,169261
E06000060,Buckinghamshire,220328
E06000061,North Northamptonshire,148918
E06000062,West Northamptonshire,172641
E07000008,Cambridge,52472
E07000009,East Cambridgeshire,37203
E07000010,Fenland,44083
E07000011,Huntingdonshire,76880
E07000012,South Cambridgeshire,66996
E07000026,Allerdale,43973
E07000027,Barrow-in-Furness,31259
E07000028,Carlisle,50663
E07000029,Copeland,30789
E07000030,Eden,24613
E07000031,South Lakeland,47657
E07000032,Amber Valley,56277
E07000033,Bolsover,35262
E07000034,Chesterfield,48058
E07000035,Derbyshire Dales,32283
E07000036,Erewash,50334
E07000037,High Peak,40772
E07000038,North East Derbyshire,45987
E07000039,South Derbyshire,45240
E07000040,East Devon,66788
E07000041,Exeter,52554
E07000042,Mid Devon,35633
E07000043,North Devon,43197
E07000044,South Hams,39335
E07000045,Teignbridge,59838
E07000046,Torridge,30457
E07000047,West Devon,24818
E07000061,Eastbourne,45610
E07000062,Hastings,40453
E07000063,Lewes,43688
E07000064,Rother,42102
E07000065,Wealden,68266
E07000066,Basildon,76362
E07000067,Braintree,64986
E07000068,Brentwood,32342
E07000069,Castle Point,37389
E07000070,Chelmsford,75401
E07000071,Colchester,79710
E07000072,Epping Forest,54557
E07000073,Harlow,37857
E07000074,Maldon,27900
E07000075,Rochford,35557
E07000076,Tendring,67451
E07000077,Uttlesford,36958
E07000078,Cheltenham,52899
E07000079,Cotswold,40597
E07000080,Forest of Dean,37217
E07000081,Gloucester,55407
E07000082,Stroud,52378
E07000083,Tewkesbury,40931
E07000084,Basingstoke and Deane,76645
E07000085,East Hampshire,52718
E07000086,Eastleigh,56924
E07000087,Fareham,48639
E07000088,Gosport,35922
E07000089,Hart,39964
E07000090,Havant,53589
E07000091,New Forest,77566
E07000092,Rushmoor,39303
E07000093,Test Valley,54708
E07000094,Winchester,51715
E07000095,Broxbourne,39849
E07000096,Dacorum,63412
E07000098,Hertsmere,42682
E07000099,North Hertfordshire,56732
E07000102,Three Rivers,36858
E07000103,Watford,39628
E07000105,Ashford,53583
E07000106,Canterbury,63792
E07000107,Dartford,45696
E07000108,Dover,50548
E07000109,Gravesham,41724
E07000110,Maidstone,71208
E07000111,Sevenoaks,49013
E07000112,Folkestone and Hythe,48338
E07000113,Swale,60495
E07000114,Thanet,62200
E07000115,Tonbridge and Malling,53573
E07000116,Tunbridge Wells,48223
E07000117,Burnley,39872
E07000118,Chorley,50132
E07000119,Fylde,37606
E07000120,Hyndburn,34790
E07000121,Lancaster,59978
E07000122,Pendle,38066
E07000123,Preston,59607
E07000124,Ribble Valley,26747
E07000125,Rossendale,30561
E07000126,South Ribble,48586
E07000127,West Lancashire,48533
E07000128,Wyre,50767
E07000129,Blaby,42575
E07000130,Charnwood,73785
E07000131,Harborough,40413
E07000132,Hinckley and Bosworth,49446
E07000133,Melton,22599
E07000134,North West Leicestershire,44973
E07000135,Oadby and Wigston,22617
E07000136,Boston,29404
E07000137,East Lindsey,64754
E07000138,Lincoln,42507
E07000139,North Kesteven,50989
E07000140,South Holland,40703
E07000141,South Kesteven,62850
E07000142,West Lindsey,42345
E07000143,Breckland,60359
E07000144,Broadland,57760
E07000145,Great Yarmouth,44544
